31	12	30	 5
24	 4	31	 6
26	14	31	 9
31	12	24	 9
29	14	27	 1
28	10	25	 1
24	 1	26	10
30	 7	25	 9
28	11	25	 4
26	 5	29	11
26	10	29	 4
27	11	25	11
30	 8	25	 7
30	13	25	 3
29	 9	24	 4
26	13	29	 3
27	12	29	 4
28	11	28	 3
25	 5	26	 0
31	 5	24	14
31	13	28	 0
31	 6	24	 9
29	 7	27	 6
24	12	31	 2
24	 6	31	 8
27	 9	27	 7
27	 0	27	 0
24	 9	25	 8
26	 6	28	 8
25	14	26	 1
26	 4	27	12
30	 1	27	11
25	 5	30	11
28	 3	29	 5
28	 3	26	13
28	 7	27	10
31	14	31	 5
25	 0	29	 5
29	 0	28	 5
31	11	24	 3
29	 2	27	13
30	 5	26	13
31	10	25	 5
31	14	24	 1
28	 5	28	10
29	 1	30	15
25	 1	27	15
31	 9	24	 9
30	 6	25	 8
28	12	26	11
26	 8	31	 9
27	 1	29	15
26	 7	31	 7
25	15	27	15
27	11	26	 5
31	11	25	 5
24	 4	30	 5
28	10	29	10
24	 0	29	15
28	 7	26	 8
31	 5	24	10
29	 1	25	15
25	 2	29	 4
29	10	25	 4
29	13	31	 0
29	11	28	 2
28	11	26	14
30	 1	30	 7
28	 6	28	 9
31	10	28	 9
30	 2	27	13
27	 0	29	15
30	 5	27	10
30	10	31	 9
30	 4	24	12
27	 5	29	11
27	 4	28	11
31	 9	30	12
26	13	29	 1
25	10	24	 2
26	 9	29	 6
29	 4	27	12
27	 0	28	12
28	 4	24	10
31	11	25	 3
26	 6	26	12
29	 0	29	 0
28	 5	26	15
30	 9	27	 9
28	13	26	 3
28	12	28	 2
28	 3	29	11
31	10	24	 5
31	 5	24	 9
27	 2	30	10
26	 0	24	10
24	 8	29	 3
31	 2	29	14
27	 3	31	 3
27	 5	30	 8
24	11	31	 6
25	 0	30	14
31	 6	26	 5
24	 9	26	10
24	10	27	 9
26	14	31	 3
28	 8	27	12
26	14	25	10
27	 2	30	 4
28	 0	30	 5
29	 7	25	10
29	 6	26	11
24	 5	31	 9
24	12	30	 4
