1888	16484	16258	24	7	0	0	41	12	1	1	0
11	17625	17350	18	15	0	0	46	12	1	1	0
32	18678	18472	6	27	0	0	44	12	3	3	0
33	18865	18470	6	23	0	0	46	12	3	3	0
69	20170	19973	14	25	0	0	50	12	3	1	0
95	18342	18097	5	22	0	0	57	12	1	1	0
131	16692	16402	6	27	0	0	48	12	1	1	0
133	16736	16402	6	23	0	0	46	12	1	1	0
228	18016	17722	9	15	0	0	24	12	1	3	0
229	18016	17722	9	16	0	0	25	12	1	3	0
232	18072	17722	9	12	0	0	21	12	1	3	0
259	19433	19139	20	9	0	0	39	12	3	1	0
264	19380	19144	10	30	0	0	15	12	1	1	0
296	18715	18534	21	25	0	0	25	12	3	1	0
297	18788	18534	21	15	0	0	26	12	3	1	0
299	20373	20102	21	21	0	0	31	12	3	1	0
323	18148	17763	22	18	0	0	11	12	3	1	0
365	19763	19491	23	30	0	0	9	12	3	3	0
370	19764	19492	13	16	0	0	58	12	1	3	0
404	19704	19456	24	1	0	0	45	12	3	1	0
405	19783	19455	24	28	0	0	43	12	3	1	0
408	18283	17834	14	29	0	0	7	12	1	3	0
481	16889	16654	26	14	0	0	34	12	3	3	0
482	16736	16446	26	8	0	0	14	12	3	1	0
483	20175	19930	16	22	0	0	39	12	1	1	0
484	18104	17817	26	25	0	0	18	12	3	3	0
485	18103	17818	16	9	0	0	50	12	1	3	0
486	17809	17501	26	2	0	0	34	12	3	1	0
569	17698	17405	28	31	0	0	32	12	3	1	0
612	18958	18697	29	1	0	0	60	12	3	3	0
617	16725	16404	19	22	0	0	10	12	1	3	0
645	19199	18749	20	23	0	0	38	12	1	1	0
646	17632	17318	20	24	0	0	32	12	1	3	0
649	19033	18745	30	20	0	0	1	12	3	1	0
650	19214	19008	30	23	0	0	44	12	3	1	0
708	18417	18220	0	22	0	0	31	12	3	3	0
748	19026	18761	1	10	0	0	27	12	3	3	0
749	18976	18757	1	22	0	0	35	12	3	1	0
750	19312	19084	1	3	0	0	18	12	3	1	0
751	19373	19082	1	22	0	0	20	12	3	1	0
753	19536	19087	23	21	0	0	49	12	1	1	0
784	20139	19821	24	3	0	0	10	12	1	1	0
785	17457	17140	24	12	0	0	27	12	1	3	0
787	17397	17140	2	5	0	0	32	12	3	3	0
788	17428	17139	2	21	0	0	36	12	3	3	0
831	19270	18972	3	29	0	0	11	12	3	1	0
894	17800	17570	5	29	0	0	63	12	3	1	0
895	18189	17953	5	6	0	0	63	12	3	1	0
896	19572	19328	5	24	0	0	16	12	3	1	0
897	19747	19328	5	13	0	0	18	12	3	1	0
898	18224	17958	27	8	0	0	12	12	1	1	0
900	17867	17575	27	10	0	0	55	12	1	3	0
967	18903	18713	7	10	0	0	25	12	3	1	0
968	19006	18712	7	20	0	0	26	12	3	1	0
969	19694	19436	7	7	0	0	23	12	3	1	0
972	19739	19435	7	29	0	0	11	12	3	1	0
974	19788	19436	7	0	0	0	25	12	3	1	0
1051	20287	19958	0	4	0	0	30	12	1	1	0
1078	19289	19080	1	6	0	0	56	12	1	1	0
1080	19325	19080	1	3	0	0	51	12	1	1	0
1147	17972	17758	3	23	0	0	62	12	1	1	0
1193	19870	19656	14	7	0	0	26	12	3	3	0
1221	18807	18589	15	3	0	0	57	12	3	1	0
1223	18949	18588	15	17	0	0	58	12	3	1	0
1297	16570	16332	7	6	0	0	50	12	1	3	0
1298	19741	19527	7	9	0	0	10	12	1	1	0
1299	16654	16332	7	1	0	0	51	12	1	3	0
1300	19770	19524	17	23	0	0	37	12	3	3	0
1301	19826	19524	17	10	0	0	36	12	3	3	0
1325	18082	17786	8	4	0	0	41	12	1	3	0
1396	16402	16123	10	29	0	0	50	12	1	3	0
1466	19032	18740	22	10	0	0	57	12	3	1	0
1467	16835	16600	22	29	0	0	16	12	3	3	0
1538	16438	16249	24	18	0	0	7	12	3	1	0
1539	16483	16248	24	25	0	0	6	12	3	1	0
1540	16583	16248	24	9	0	0	4	12	3	1	0
1572	20220	20003	25	5	0	0	22	12	3	1	0
1573	18503	18152	25	23	0	0	62	12	3	3	0
1574	20320	20002	25	19	0	0	17	12	3	1	0
1578	19927	19655	15	27	0	0	0	12	1	3	0
1641	19729	19451	17	7	0	0	55	12	1	3	0
1673	17264	17055	18	25	0	0	46	12	1	1	0
1674	17625	17426	28	29	0	0	52	12	3	3	0
1708	17934	17731	29	21	0	0	61	12	3	1	0
1772	16565	16317	21	28	0	0	43	12	1	1	0
1773	18857	18516	21	4	0	0	61	12	1	3	0
